 日期 , 时间 , 纬度方向 , 纬度／度 , 经度方向, 经度／度 , 航向／度 ，海拔／米 ,速度/km/h , 卫星颗数／颗
2017年05月10日,9时33分9秒，   4047.618, N,  11141.738, E, 342.0, 1142, 33.34, 08
2017年05月10日,9时33分10秒，   4047.623, N,  11141.737, E, 342.1, 1141, 29.63, 08
2017年05月10日,9时33分11秒，   4047.627, N,  11141.735, E, 342.6, 1140, 25.93, 09
2017年05月10日,9时33分12秒，   4047.631, N,  11141.734, E, 342.9, 1140, 24.08, 09
2017年05月10日,9时33分13秒，   4047.634, N,  11141.733, E, 343.2, 1139, 20.37, 09
2017年05月10日,9时33分14秒，   4047.637, N,  11141.732, E, 343.4, 1139, 16.67, 09
2017年05月10日,9时33分15秒，   4047.639, N,  11141.731, E, 343.5, 1139, 14.82, 10
2017年05月10日,9时33分16秒，   4047.641, N,  11141.730, E, 343.4, 1140, 12.96, 08
2017年05月10日,9时33分17秒，   4047.643, N,  11141.730, E, 343.3, 1139, 12.96, 08
2017年05月10日,9时33分18秒，   4047.645, N,  11141.729, E, 343.0, 1139, 11.11, 08
2017年05月10日,9时33分19秒，   4047.646, N,  11141.728, E, 343.0, 1138, 9.26, 08
2017年05月10日,9时33分20秒，   4047.647, N,  11141.728, E, 338.0, 1137, 5.56, 08
2017年05月10日,9时33分21秒，   4047.648, N,  11141.727, E, 338.0, 1137, 3.70, 08
2017年05月10日,9时33分22秒，   4047.648, N,  11141.727, E, 338.0, 1136, 1.85, 08
2017年05月10日,9时33分23秒，   4047.648, N,  11141.727, E, 338.0, 1135, 0.00, 09
2017年05月10日,9时33分24秒，   4047.648, N,  11141.727, E, 338.0, 1135, 0.00, 09
2017年05月10日,9时33分25秒，   4047.617, N,  11141.721, E, 338.0, 1132, 1.85, 10
2017年05月10日,9时33分26秒，   4047.617, N,  11141.720, E, 338.0, 1128, 1.85, 09
2017年05月10日,9时33分27秒，   4047.617, N,  11141.721, E, 338.0, 1122, 1.85, 09
2017年05月10日,9时33分28秒，   4047.618, N,  11141.722, E, 338.0, 1119, 1.85, 09
2017年05月10日,9时33分29秒，   4047.618, N,  11141.722, E, 338.0, 1115, 1.85, 09
2017年05月10日,9时33分30秒，   4047.618, N,  11141.723, E, 338.0, 1113, 0.00, 09
2017年05月10日,9时33分31秒，   4047.617, N,  11141.726, E, 338.0, 1101, 0.00, 10
2017年05月10日,9时33分32秒，   4047.616, N,  11141.728, E, 338.0, 1092, 0.00, 10
2017年05月10日,9时33分33秒，   4047.617, N,  11141.734, E, 338.0, 1071, 0.00, 10
2017年05月10日,9时33分34秒，   4047.617, N,  11141.736, E, 338.0, 1063, 0.00, 10
2017年05月10日,9时33分35秒，   4047.617, N,  11141.736, E, 338.0, 1062, 0.00, 10
2017年05月10日,9时33分36秒，   4047.618, N,  11141.736, E, 338.0, 1061, 0.00, 10
2017年05月10日,9时33分37秒，   4047.618, N,  11141.736, E, 338.0, 1060, 0.00, 10
2017年05月10日,9时33分38秒，   4047.619, N,  11141.735, E, 338.0, 1060, 0.00, 10
2017年05月10日,9时33分39秒，   4047.620, N,  11141.735, E, 338.0, 1059, 0.00, 10
2017年05月10日,9时33分40秒，   4047.620, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分41秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分42秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分43秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分44秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分45秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分46秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分47秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分48秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分49秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分50秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分51秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分52秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分53秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分54秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分55秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分56秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 09
2017年05月10日,9时33分57秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 10
2017年05月10日,9时33分58秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 10
2017年05月10日,9时33分59秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 10
2017年05月10日,9时34分0秒，   4047.621, N,  11141.735, E, 338.0, 1058, 0.00, 10
