 日期 , 时间 , 纬度方向 , 纬度／度 , 经度方向, 经度／度 , 航向／度 ，海拔／米 ,速度/km/h , 卫星颗数／颗
2017年05月10日,9时37分14秒，   4047.755, N,  11141.673, E, 338.6, 1055, 33.34, 10
2017年05月10日,9时37分15秒，   4047.760, N,  11141.670, E, 338.8, 1056, 35.19, 09
2017年05月10日,9时37分16秒，   4047.765, N,  11141.668, E, 338.1, 1056, 37.04, 10
2017年05月10日,9时37分17秒，   4047.770, N,  11141.665, E, 338.9, 1056, 37.04, 09
2017年05月10日,9时37分18秒，   4047.776, N,  11141.663, E, 340.1, 1056, 37.04, 09
2017年05月10日,9时37分19秒，   4047.781, N,  11141.660, E, 341.3, 1057, 37.04, 09
2017年05月10日,9时37分20秒，   4047.787, N,  11141.658, E, 342.9, 1057, 38.89, 10
2017年05月10日,9时37分21秒，   4047.793, N,  11141.656, E, 344.0, 1057, 40.74, 10
2017年05月10日,9时37分22秒，   4047.800, N,  11141.653, E, 343.0, 1058, 42.60, 10
2017年05月10日,9时37分23秒，   4047.806, N,  11141.650, E, 343.2, 1059, 42.60, 10
2017年05月10日,9时37分24秒，   4047.813, N,  11141.648, E, 343.9, 1059, 42.60, 09
2017年05月10日,9时37分25秒，   4047.818, N,  11141.646, E, 345.0, 1060, 37.04, 10
2017年05月10日,9时37分26秒，   4047.823, N,  11141.645, E, 346.2, 1060, 27.78, 09
2017年05月10日,9时37分27秒，   4047.827, N,  11141.644, E, 346.7, 1060, 22.22, 10
2017年05月10日,9时37分28秒，   4047.830, N,  11141.642, E, 345.8, 1060, 18.52, 10
2017年05月10日,9时37分29秒，   4047.832, N,  11141.641, E, 344.2, 1060, 14.82, 10
2017年05月10日,9时37分30秒，   4047.834, N,  11141.640, E, 342.0, 1060, 11.11, 10
2017年05月10日,9时37分31秒，   4047.836, N,  11141.639, E, 339.9, 1061, 11.11, 09
2017年05月10日,9时37分32秒，   4047.838, N,  11141.638, E, 337.9, 1061, 14.82, 10
2017年05月10日,9时37分33秒，   4047.840, N,  11141.637, E, 337.2, 1061, 20.37, 09
2017年05月10日,9时37分34秒，   4047.844, N,  11141.635, E, 337.4, 1061, 25.93, 10
2017年05月10日,9时37分35秒，   4047.848, N,  11141.633, E, 338.2, 1061, 27.78, 09
2017年05月10日,9时37分36秒，   4047.853, N,  11141.630, E, 339.2, 1061, 31.48, 09
2017年05月10日,9时37分37秒，   4047.857, N,  11141.628, E, 339.8, 1061, 33.34, 09
2017年05月10日,9时37分38秒，   4047.862, N,  11141.626, E, 340.5, 1061, 33.34, 09
2017年05月10日,9时37分39秒，   4047.867, N,  11141.623, E, 341.4, 1061, 35.19, 09
2017年05月10日,9时37分40秒，   4047.873, N,  11141.621, E, 342.5, 1062, 33.34, 09
2017年05月10日,9时37分41秒，   4047.878, N,  11141.619, E, 343.4, 1062, 33.34, 09
2017年05月10日,9时37分42秒，   4047.883, N,  11141.617, E, 343.7, 1062, 35.19, 10
2017年05月10日,9时37分43秒，   4047.889, N,  11141.615, E, 343.1, 1062, 35.19, 10
2017年05月10日,9时37分44秒，   4047.894, N,  11141.612, E, 341.8, 1062, 35.19, 10
2017年05月10日,9时37分45秒，   4047.899, N,  11141.610, E, 340.4, 1062, 35.19, 09
2017年05月10日,9时37分46秒，   4047.904, N,  11141.607, E, 339.8, 1062, 33.34, 10
2017年05月10日,9时37分47秒，   4047.909, N,  11141.605, E, 339.3, 1062, 35.19, 10
2017年05月10日,9时37分48秒，   4047.914, N,  11141.603, E, 339.9, 1062, 31.48, 10
2017年05月10日,9时37分49秒，   4047.919, N,  11141.601, E, 340.6, 1062, 29.63, 10
2017年05月10日,9时37分50秒，   4047.923, N,  11141.599, E, 340.9, 1063, 27.78, 10
2017年05月10日,9时37分51秒，   4047.927, N,  11141.597, E, 340.9, 1063, 25.93, 10
2017年05月10日,9时37分52秒，   4047.930, N,  11141.594, E, 340.4, 1064, 24.08, 09
2017年05月10日,9时37分53秒，   4047.934, N,  11141.593, E, 339.6, 1064, 22.22, 09
2017年05月10日,9时37分54秒，   4047.937, N,  11141.591, E, 339.0, 1064, 20.37, 09
2017年05月10日,9时37分55秒，   4047.939, N,  11141.590, E, 338.7, 1064, 16.67, 09
2017年05月10日,9时37分56秒，   4047.942, N,  11141.589, E, 338.4, 1063, 16.67, 09
2017年05月10日,9时37分57秒，   4047.945, N,  11141.587, E, 344.7, 1063, 18.52, 09
2017年05月10日,9时37分58秒，   4047.947, N,  11141.587, E, 344.9, 1063, 18.52, 10
2017年05月10日,9时37分59秒，   4047.950, N,  11141.586, E, 347.4, 1063, 14.82, 10
2017年05月10日,9时38分0秒，   4047.952, N,  11141.586, E, 354.1, 1062, 12.96, 10
2017年05月10日,9时38分1秒，   4047.955, N,  11141.585, E, 353.3, 1062, 14.82, 10
2017年05月10日,9时38分2秒，   4047.957, N,  11141.584, E, 352.4, 1062, 16.67, 10
2017年05月10日,9时38分3秒，   4047.959, N,  11141.583, E, 351.4, 1062, 14.82, 10
2017年05月10日,9时38分4秒，   4047.961, N,  11141.582, E, 350.5, 1062, 11.11, 10
2017年05月10日,9时38分5秒，   4047.963, N,  11141.582, E, 349.3, 1062, 7.41, 10
2017年05月10日,9时38分6秒，   4047.964, N,  11141.581, E, 345.4, 1062, 5.56, 10
2017年05月10日,9时38分7秒，   4047.964, N,  11141.582, E, 345.4, 1063, 3.70, 10
2017年05月10日,9时38分8秒，   4047.965, N,  11141.581, E, 345.4, 1063, 0.00, 10
2017年05月10日,9时38分9秒，   4047.965, N,  11141.581, E, 345.4, 1063, 0.00, 10
2017年05月10日,9时38分10秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 10
2017年05月10日,9时38分11秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 10
2017年05月10日,9时38分12秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 09
2017年05月10日,9时38分13秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 09
2017年05月10日,9时38分14秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 09
2017年05月10日,9时38分15秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 09
2017年05月10日,9时38分16秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 09
2017年05月10日,9时38分17秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 09
2017年05月10日,9时38分18秒，   4047.966, N,  11141.580, E, 345.4, 1064, 0.00, 09
2017年05月10日,9时38分19秒，   4047.967, N,  11141.580, E, 345.4, 1064, 1.85, 09
2017年05月10日,9时38分20秒，   4047.967, N,  11141.579, E, 345.4, 1064, 3.70, 09
2017年05月10日,9时38分21秒，   4047.969, N,  11141.579, E, 337.4, 1064, 3.70, 10
2017年05月10日,9时38分22秒，   4047.970, N,  11141.579, E, 340.6, 1064, 3.70, 10
2017年05月10日,9时38分23秒，   4047.970, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分24秒，   4047.970, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分25秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分26秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分27秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分28秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分29秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分30秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分31秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分32秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分33秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分34秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分35秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分36秒，   4047.971, N,  11141.578, E, 341.4, 1064, 0.00, 10
2017年05月10日,9时38分37秒，   4047.972, N,  11141.578, E, 335.6, 1064, 1.85, 10
2017年05月10日,9时38分38秒，   4047.972, N,  11141.578, E, 338.4, 1064, 1.85, 10
2017年05月10日,9时38分39秒，   4047.973, N,  11141.578, E, 345.1, 1064, 1.85, 10
2017年05月10日,9时38分40秒，   4047.973, N,  11141.577, E, 344.4, 1064, 1.85, 10
2017年05月10日,9时38分41秒，   4047.974, N,  11141.577, E, 343.8, 1064, 1.85, 10
2017年05月10日,9时38分42秒，   4047.974, N,  11141.577, E, 346.0, 1064, 1.85, 09
2017年05月10日,9时38分43秒，   4047.975, N,  11141.577, E, 348.3, 1064, 1.85, 09
2017年05月10日,9时38分44秒，   4047.975, N,  11141.577, E, 356.5, 1064, 0.00, 09
2017年05月10日,9时38分45秒，   4047.975, N,  11141.577, E, 356.5, 1064, 0.00, 10
2017年05月10日,9时38分46秒，   4047.975, N,  11141.577, E, 356.5, 1063, 0.00, 09
2017年05月10日,9时38分47秒，   4047.975, N,  11141.577, E, 351.0, 1063, 0.00, 09
2017年05月10日,9时38分48秒，   4047.976, N,  11141.577, E, 338.0, 1063, 0.00, 09
2017年05月10日,9时38分49秒，   4047.976, N,  11141.577, E, 334.6, 1063, 1.85, 09
2017年05月10日,9时38分50秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时38分51秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 08
2017年05月10日,9时38分52秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时38分53秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时38分54秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时38分55秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时38分56秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时38分57秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时38分58秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时38分59秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分0秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分1秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分2秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分3秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分4秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分5秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分6秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时39分7秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 09
2017年05月10日,9时39分8秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分9秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分10秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分11秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分12秒，   4047.976, N,  11141.577, E, 351.2, 1063, 0.00, 10
2017年05月10日,9时39分13秒，   4047.977, N,  11141.576, E, 323.8, 1063, 3.70, 10
2017年05月10日,9时39分14秒，   4047.978, N,  11141.575, E, 324.5, 1063, 11.11, 10
2017年05月10日,9时39分15秒，   4047.981, N,  11141.574, E, 325.9, 1063, 14.82, 09
2017年05月10日,9时39分16秒，   4047.983, N,  11141.573, E, 326.8, 1063, 16.67, 10
2017年05月10日,9时39分17秒，   4047.986, N,  11141.572, E, 328.2, 1063, 20.37, 10
2017年05月10日,9时39分18秒，   4047.990, N,  11141.570, E, 329.7, 1063, 22.22, 10
2017年05月10日,9时39分19秒，   4047.993, N,  11141.569, E, 331.0, 1063, 20.37, 10
2017年05月10日,9时39分20秒，   4047.996, N,  11141.567, E, 332.2, 1063, 18.52, 10
2017年05月10日,9时39分21秒，   4047.998, N,  11141.566, E, 333.4, 1063, 14.82, 10
2017年05月10日,9时39分22秒，   4048.000, N,  11141.565, E, 334.3, 1064, 11.11, 10
2017年05月10日,9时39分23秒，   4048.002, N,  11141.564, E, 335.2, 1064, 12.96, 10
2017年05月10日,9时39分24秒，   4048.005, N,  11141.562, E, 336.0, 1065, 16.67, 10
2017年05月10日,9时39分25秒，   4048.007, N,  11141.560, E, 336.9, 1066, 16.67, 10
2017年05月10日,9时39分26秒，   4048.010, N,  11141.559, E, 337.6, 1066, 18.52, 10
2017年05月10日,9时39分27秒，   4048.013, N,  11141.557, E, 339.7, 1067, 22.22, 10
2017年05月10日,9时39分28秒，   4048.016, N,  11141.555, E, 340.9, 1067, 24.08, 10
2017年05月10日,9时39分29秒，   4048.020, N,  11141.554, E, 341.7, 1068, 25.93, 10
2017年05月10日,9时39分30秒，   4048.024, N,  11141.552, E, 342.2, 1069, 25.93, 10
2017年05月10日,9时39分31秒，   4048.028, N,  11141.550, E, 342.3, 1069, 25.93, 10
2017年05月10日,9时39分31秒，   4048.028, N,  11141.550, E, 342.3, 1069, 25.93, 10
2017年05月10日,9时39分32秒，   4048.031, N,  11141.549, E, 341.9, 1069, 22.22, 10
2017年05月10日,9时39分33秒，   4048.034, N,  11141.547, E, 341.9, 1069, 16.67, 10
2017年05月10日,9时39分34秒，   4048.037, N,  11141.546, E, 341.7, 1069, 12.96, 10
2017年05月10日,9时39分35秒，   4048.039, N,  11141.545, E, 342.2, 1068, 14.82, 09
2017年05月10日,9时39分36秒，   4048.042, N,  11141.544, E, 342.2, 1069, 18.52, 10
2017年05月10日,9时39分37秒，   4048.045, N,  11141.543, E, 341.7, 1069, 18.52, 09
2017年05月10日,9时39分38秒，   4048.047, N,  11141.541, E, 340.9, 1068, 20.37, 09
2017年05月10日,9时39分39秒，   4048.051, N,  11141.540, E, 339.6, 1068, 22.22, 09
2017年05月10日,9时39分40秒，   4048.054, N,  11141.538, E, 338.2, 1067, 25.93, 09
2017年05月10日,9时39分41秒，   4048.058, N,  11141.535, E, 337.5, 1067, 29.63, 08
2017年05月10日,9时39分42秒，   4048.063, N,  11141.533, E, 338.0, 1067, 31.48, 09
2017年05月10日,9时39分44秒，   4048.072, N,  11141.529, E, 339.2, 1067, 27.78, 09
2017年05月10日,9时39分45秒，   4048.076, N,  11141.527, E, 341.1, 1067, 29.63, 09
2017年05月10日,9时39分46秒，   4048.081, N,  11141.526, E, 343.0, 1068, 31.48, 09
2017年05月10日,9时39分46秒，   4048.081, N,  11141.526, E, 343.0, 1068, 31.48, 09
2017年05月10日,9时39分48秒，   4048.092, N,  11141.523, E, 345.9, 1068, 35.19, 08
2017年05月10日,9时39分48秒，   4048.092, N,  11141.523, E, 345.9, 1069, 35.19, 08
2017年05月10日,9时39分50秒，   4048.103, N,  11141.519, E, 346.0, 1069, 37.04, 08
2017年05月10日,9时39分50秒，   4048.103, N,  11141.519, E, 346.0, 1070, 37.04, 09
2017年05月10日,9时39分51秒，   4048.108, N,  11141.516, E, 345.7, 1070, 37.04, 09
2017年05月10日,9时39分52秒，   4048.113, N,  11141.513, E, 345.4, 1070, 38.89, 09
2017年05月10日,9时39分53秒，   4048.119, N,  11141.510, E, 344.6, 1070, 38.89, 09
2017年05月10日,9时39分55秒，   4048.131, N,  11141.505, E, 342.0, 1070, 38.89, 09
2017年05月10日,9时39分55秒，   4048.131, N,  11141.505, E, 342.0, 1069, 38.89, 09
2017年05月10日,9时39分56秒，   4048.137, N,  11141.502, E, 341.1, 1069, 40.74, 09
2017年05月10日,9时39分57秒，   4048.142, N,  11141.499, E, 340.5, 1070, 38.89, 10
2017年05月10日,9时39分58秒，   4048.148, N,  11141.496, E, 340.5, 1070, 37.04, 10
2017年05月10日,9时39分59秒，   4048.153, N,  11141.494, E, 341.6, 1070, 35.19, 10
2017年05月10日,9时40分0秒，   4048.158, N,  11141.492, E, 343.0, 1070, 33.34, 10
2017年05月10日,9时40分2秒，   4048.168, N,  11141.488, E, 343.7, 1070, 33.34, 10
2017年05月10日,9时40分2秒，   4048.168, N,  11141.488, E, 343.7, 1069, 33.34, 10
2017年05月10日,9时40分4秒，   4048.178, N,  11141.483, E, 341.3, 1069, 33.34, 10
2017年05月10日,9时40分4秒，   4048.178, N,  11141.483, E, 341.3, 1070, 33.34, 10
2017年05月10日,9时40分5秒，   4048.183, N,  11141.481, E, 340.1, 1069, 33.34, 10
2017年05月10日,9时40分6秒，   4048.189, N,  11141.478, E, 340.0, 1069, 33.34, 10
2017年05月10日,9时40分7秒，   4048.193, N,  11141.476, E, 340.2, 1069, 33.34, 10
2017年05月10日,9时40分8秒，   4048.198, N,  11141.473, E, 340.5, 1069, 31.48, 10
2017年05月10日,9时40分9秒，   4048.203, N,  11141.471, E, 341.2, 1070, 31.48, 10
2017年05月10日,9时40分10秒，   4048.207, N,  11141.469, E, 341.3, 1070, 31.48, 10
2017年05月10日,9时40分11秒，   4048.212, N,  11141.466, E, 341.1, 1070, 31.48, 10
2017年05月10日,9时40分12秒，   4048.216, N,  11141.464, E, 341.3, 1070, 29.63, 10
2017年05月10日,9时40分13秒，   4048.221, N,  11141.462, E, 342.1, 1070, 29.63, 10
2017年05月10日,9时40分14秒，   4048.225, N,  11141.460, E, 342.3, 1070, 31.48, 10
2017年05月10日,9时40分16秒，   4048.235, N,  11141.455, E, 340.2, 1071, 35.19, 10
2017年05月10日,9时40分16秒，   4048.235, N,  11141.455, E, 340.2, 1070, 35.19, 10
2017年05月10日,9时40分17秒，   4048.240, N,  11141.452, E, 339.4, 1071, 37.04, 10
2017年05月10日,9时40分19秒，   4048.250, N,  11141.447, E, 339.5, 1071, 33.34, 10
2017年05月10日,9时40分19秒，   4048.250, N,  11141.447, E, 339.5, 1071, 33.34, 10
2017年05月10日,9时40分20秒，   4048.255, N,  11141.445, E, 340.6, 1071, 29.63, 10
2017年05月10日,9时40分22秒，   4048.262, N,  11141.441, E, 340.4, 1071, 24.08, 10
2017年05月10日,9时40分22秒，   4048.262, N,  11141.441, E, 340.4, 1071, 24.08, 10
2017年05月10日,9时40分23秒，   4048.265, N,  11141.439, E, 339.8, 1071, 20.37, 10
2017年05月10日,9时40分24秒，   4048.268, N,  11141.438, E, 339.6, 1071, 16.67, 10
2017年05月10日,9时40分25秒，   4048.270, N,  11141.438, E, 340.3, 1071, 9.26, 10
2017年05月10日,9时40分26秒，   4048.272, N,  11141.438, E, 340.6, 1070, 3.70, 10
2017年05月10日,9时40分28秒，   4048.273, N,  11141.438, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分29秒，   4048.273, N,  11141.438, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分29秒，   4048.273, N,  11141.438, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分30秒，   4048.273, N,  11141.438, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分31秒，   4048.273, N,  11141.437, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分32秒，   4048.273, N,  11141.437, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分34秒，   4048.273, N,  11141.437, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分34秒，   4048.273, N,  11141.437, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分35秒，   4048.273, N,  11141.437, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分36秒，   4048.273, N,  11141.437, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分37秒，   4048.273, N,  11141.436, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分38秒，   4048.273, N,  11141.436, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分39秒，   4048.273, N,  11141.436, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分40秒，   4048.273, N,  11141.436, E, 340.9, 1070, 0.00, 10
2017年05月10日,9时40分41秒，   4048.273, N,  11141.436, E, 340.9, 1070, 3.70, 10
2017年05月10日,9时40分42秒，   4048.273, N,  11141.435, E, 239.1, 1070, 5.56, 10
2017年05月10日,9时40分43秒，   4048.272, N,  11141.434, E, 203.6, 1069, 7.41, 10
2017年05月10日,9时40分44秒，   4048.270, N,  11141.433, E, 178.3, 1069, 9.26, 10
2017年05月10日,9时40分45秒，   4048.268, N,  11141.434, E, 156.6, 1068, 14.82, 10
2017年05月10日,9时40分46秒，   4048.266, N,  11141.436, E, 153.1, 1068, 16.67, 10
2017年05月10日,9时40分47秒，   4048.263, N,  11141.437, E, 155.3, 1067, 18.52, 10
2017年05月10日,9时40分48秒，   4048.260, N,  11141.439, E, 156.6, 1066, 20.37, 10
2017年05月10日,9时40分49秒，   4048.257, N,  11141.440, E, 158.3, 1065, 22.22, 10
2017年05月10日,9时40分50秒，   4048.254, N,  11141.442, E, 160.0, 1065, 24.08, 09
2017年05月10日,9时40分51秒，   4048.250, N,  11141.444, E, 160.3, 1064, 24.08, 09
2017年05月10日,9时40分52秒，   4048.247, N,  11141.445, E, 161.5, 1064, 24.08, 09
2017年05月10日,9时40分53秒，   4048.243, N,  11141.447, E, 162.6, 1063, 25.93, 10
2017年05月10日,9时40分54秒，   4048.240, N,  11141.448, E, 163.2, 1062, 25.93, 09
2017年05月10日,9时40分55秒，   4048.236, N,  11141.450, E, 163.4, 1062, 25.93, 09
2017年05月10日,9时40分56秒，   4048.232, N,  11141.451, E, 163.6, 1061, 24.08, 09
2017年05月10日,9时40分57秒，   4048.229, N,  11141.452, E, 164.2, 1060, 22.22, 10
2017年05月10日,9时40分58秒，   4048.226, N,  11141.453, E, 164.5, 1060, 20.37, 10
2017年05月10日,9时40分59秒，   4048.223, N,  11141.454, E, 165.1, 1059, 14.82, 10
2017年05月10日,9时41分0秒，   4048.220, N,  11141.454, E, 166.8, 1058, 11.11, 10
2017年05月10日,9时41分1秒，   4048.219, N,  11141.454, E, 175.7, 1058, 7.41, 10
2017年05月10日,9时41分2秒，   4048.218, N,  11141.454, E, 186.3, 1058, 5.56, 10
2017年05月10日,9时41分3秒，   4048.217, N,  11141.454, E, 201.9, 1057, 5.56, 10
2017年05月10日,9时41分4秒，   4048.216, N,  11141.453, E, 220.2, 1057, 5.56, 10
2017年05月10日,9时41分5秒，   4048.215, N,  11141.452, E, 219.9, 1056, 5.56, 10
2017年05月10日,9时41分6秒，   4048.214, N,  11141.451, E, 221.4, 1056, 5.56, 10
2017年05月10日,9时41分7秒，   4048.214, N,  11141.450, E, 224.2, 1055, 7.41, 10
2017年05月10日,9时41分8秒，   4048.213, N,  11141.449, E, 226.4, 1055, 7.41, 10
2017年05月10日,9时41分9秒，   4048.213, N,  11141.447, E, 228.9, 1055, 7.41, 10
2017年05月10日,9时41分10秒，   4048.212, N,  11141.445, E, 256.4, 1054, 7.41, 10
2017年05月10日,9时41分11秒，   4048.212, N,  11141.444, E, 255.0, 1054, 7.41, 10
2017年05月10日,9时41分12秒，   4048.211, N,  11141.442, E, 254.4, 1054, 5.56, 10
2017年05月10日,9时41分13秒，   4048.211, N,  11141.442, E, 254.4, 1053, 0.00, 10
2017年05月10日,9时41分15秒，   4048.211, N,  11141.441, E, 254.4, 1054, 0.00, 10
2017年05月10日,9时41分15秒，   4048.211, N,  11141.441, E, 254.4, 1054, 0.00, 10
2017年05月10日,9时41分16秒，   4048.211, N,  11141.441, E, 254.3, 1054, 0.00, 10
2017年05月10日,9时41分17秒，   4048.211, N,  11141.441, E, 254.4, 1054, 0.00, 10
2017年05月10日,9时41分18秒，   4048.211, N,  11141.441, E, 254.4, 1054, 0.00, 10
2017年05月10日,9时41分19秒，   4048.211, N,  11141.441, E, 254.4, 1054, 0.00, 10
2017年05月10日,9时41分20秒，   4048.210, N,  11141.440, E, 254.4, 1054, 0.00, 10
2017年05月10日,9时41分21秒，   4048.211, N,  11141.438, E, 281.9, 1054, 14.82, 10
2017年05月10日,9时41分23秒，   4048.212, N,  11141.430, E, 281.8, 1053, 18.52, 10
2017年05月10日,9时41分24秒，   4048.212, N,  11141.425, E, 271.1, 1053, 18.52, 09
2017年05月10日,9时41分24秒，   4048.212, N,  11141.425, E, 271.1, 1053, 18.52, 10
2017年05月10日,9时41分25秒，   4048.212, N,  11141.421, E, 256.0, 1053, 18.52, 10
2017年05月10日,9时41分26秒，   4048.211, N,  11141.417, E, 243.6, 1053, 16.67, 10
2017年05月10日,9时41分27秒，   4048.210, N,  11141.414, E, 232.4, 1052, 14.82, 10
2017年05月10日,9时41分28秒，   4048.208, N,  11141.412, E, 222.3, 1052, 12.96, 10
2017年05月10日,9时41分29秒，   4048.207, N,  11141.410, E, 210.5, 1052, 11.11, 10
2017年05月10日,9时41分30秒，   4048.205, N,  11141.409, E, 196.5, 1053, 11.11, 10
2017年05月10日,9时41分31秒，   4048.203, N,  11141.408, E, 176.7, 1053, 9.26, 10
2017年05月10日,9时41分32秒，   4048.201, N,  11141.409, E, 170.5, 1052, 11.11, 10
2017年05月10日,9时41分33秒，   4048.199, N,  11141.409, E, 168.3, 1052, 12.96, 10
2017年05月10日,9时41分34秒，   4048.197, N,  11141.410, E, 168.0, 1052, 16.67, 10
2017年05月10日,9时41分35秒，   4048.195, N,  11141.411, E, 167.2, 1051, 18.52, 10
2017年05月10日,9时41分36秒，   4048.192, N,  11141.412, E, 164.9, 1051, 18.52, 10
2017年05月10日,9时41分37秒，   4048.189, N,  11141.413, E, 162.1, 1051, 18.52, 10
2017年05月10日,9时41分38秒，   4048.186, N,  11141.414, E, 163.2, 1051, 18.52, 10
2017年05月10日,9时41分40秒，   4048.180, N,  11141.417, E, 161.8, 1051, 20.37, 10
2017年05月10日,9时41分40秒，   4048.180, N,  11141.417, E, 161.8, 1050, 20.37, 10
2017年05月10日,9时41分41秒，   4048.177, N,  11141.418, E, 160.1, 1050, 22.22, 10
2017年05月10日,9时41分42秒，   4048.173, N,  11141.420, E, 158.8, 1049, 22.22, 10
2017年05月10日,9时41分44秒，   4048.166, N,  11141.423, E, 158.5, 1049, 24.08, 10
2017年05月10日,9时41分44秒，   4048.166, N,  11141.423, E, 158.5, 1049, 24.08, 10
2017年05月10日,9时41分45秒，   4048.163, N,  11141.425, E, 158.6, 1048, 24.08, 10
2017年05月10日,9时41分47秒，   4048.156, N,  11141.427, E, 166.9, 1048, 22.22, 10
2017年05月10日,9时41分48秒，   4048.152, N,  11141.429, E, 163.4, 1047, 24.08, 10
2017年05月10日,9时41分48秒，   4048.152, N,  11141.429, E, 163.4, 1047, 24.08, 10
2017年05月10日,9时41分49秒，   4048.149, N,  11141.430, E, 162.8, 1046, 24.08, 10
2017年05月10日,9时41分50秒，   4048.145, N,  11141.432, E, 162.1, 1046, 24.08, 10
2017年05月10日,9时41分51秒，   4048.142, N,  11141.433, E, 160.9, 1046, 25.93, 10
2017年05月10日,9时41分52秒，   4048.138, N,  11141.435, E, 160.1, 1046, 25.93, 10
2017年05月10日,9时41分53秒，   4048.134, N,  11141.437, E, 160.2, 1045, 24.08, 10
2017年05月10日,9时41分54秒，   4048.130, N,  11141.438, E, 167.0, 1045, 24.08, 10
2017年05月10日,9时41分55秒，   4048.126, N,  11141.440, E, 166.2, 1045, 22.22, 10
2017年05月10日,9时41分56秒，   4048.123, N,  11141.442, E, 164.3, 1045, 22.22, 10
